iter	Logloss
0	0.6729916622
1	0.6560824521
2	0.6427402305
3	0.6316252566
4	0.6224517671
5	0.6160576407
6	0.6092642273
7	0.6046197891
8	0.5998575479
9	0.5970947728
10	0.5945318886
11	0.5926920804
12	0.5904362081
13	0.5877865433
14	0.5854918345
15	0.5838900369
16	0.5824295619
17	0.5810656889
18	0.5800320518
19	0.5783055303
20	0.5765164092
21	0.575292368
22	0.5741309313
23	0.5739516625
24	0.5731588216
25	0.5722818616
26	0.5715897152
27	0.5712262268
28	0.5705951261
29	0.5698483846
30	0.5689638596
31	0.5683194149
32	0.5677775944
33	0.5676749777
34	0.5667286881
35	0.5656203254
36	0.5654753753
37	0.5644925595
38	0.5638929758
39	0.5633282468
40	0.5628044719
41	0.5623308897
42	0.5615619824
43	0.5609019308
44	0.560507934
45	0.5603968753
46	0.5599708992
47	0.559607685
48	0.5590300565
49	0.5585180571
50	0.5584233936
51	0.5575933278
52	0.5568395997
53	0.5562222111
54	0.5552451937
55	0.5545268449
56	0.5542567219
57	0.554013766
58	0.5537919952
59	0.5533672372
60	0.5524688504
61	0.5524486664
62	0.5521636282
63	0.5515031417
64	0.5510478326
65	0.5507565879
66	0.5506074476
67	0.5502885019
68	0.5500535082
69	0.5497119654
70	0.5486424099
71	0.5486257917
72	0.5483638233
73	0.5481352097
74	0.5477694949
75	0.5472025249
76	0.5470019046
77	0.546755266
78	0.5464720565
79	0.5461462031
80	0.5456062404
81	0.5446525292
82	0.5444593122
83	0.5440594018
84	0.5436259507
85	0.5433216329
86	0.5424548436
87	0.5419423469
88	0.541630813
89	0.5413031102
90	0.5409299703
91	0.5401612312
92	0.5393771403
93	0.5389812612
94	0.5386386192
95	0.5381479932
96	0.5376101659
97	0.5372412358
98	0.5368556304
99	0.5365484146
100	0.5360644742
101	0.5353360801
102	0.5350899456
103	0.5348101459
104	0.5347450797
105	0.5339893942
106	0.5335222277
107	0.5329491176
108	0.5322084405
109	0.5314353307
110	0.5307658132
111	0.530136456
112	0.5298190971
113	0.5291752212
114	0.5284372534
115	0.5276339133
116	0.5271728145
117	0.5265539442
118	0.5261934469
119	0.525639859
120	0.524995068
121	0.5245317835
122	0.5242836832
123	0.5239539394
124	0.5235945178
125	0.5231170893
126	0.5224938977
127	0.5222294446
128	0.521715098
129	0.5216280856
130	0.5207369137
131	0.5204947496
132	0.5200029222
133	0.5195509215
134	0.518785008
135	0.5183765547
136	0.5175632855
137	0.5174391593
138	0.5168595975
139	0.5165352365
140	0.516044101
141	0.5156111983
142	0.5153570304
143	0.5148097007
144	0.5146493601
145	0.5140310876
146	0.5135791501
147	0.5135050734
148	0.5129772545
149	0.5125060314
150	0.511905277
151	0.5114500305
152	0.5113954993
153	0.5107877455
154	0.5102079381
155	0.5097783927
156	0.5095592451
157	0.5090874038
158	0.5086882282
159	0.5081342721
160	0.5076392972
161	0.5072446093
162	0.5067992773
163	0.5063280445
164	0.505774414
165	0.5052101316
166	0.5049512689
167	0.503988393
168	0.503285497
169	0.5027796489
170	0.5024311447
171	0.5018047672
172	0.5012252219
173	0.5007654217
174	0.5001177707
175	0.4995695053
176	0.4991719159
177	0.4985672468
178	0.4983410194
179	0.4979352168
180	0.4972941229
181	0.4965966199
182	0.4964769612
183	0.4962089927
184	0.4958192937
185	0.4954830945
186	0.4953007234
187	0.4948979632
188	0.4944945371
189	0.4943326938
190	0.4936188574
191	0.4932949408
192	0.4930491309
193	0.4926687474
194	0.4917898988
195	0.4914765006
196	0.4909779991
197	0.4907085973
198	0.4905332614
199	0.4902898863
